country,longitude (degrees),latitude (degrees),longitude (radians),latitude (radians),x_radian_ecef,y_radian_ecef,z_radian_ecef,long_coverted,hyp,lat_convert
Peru,-74.38242889,-9.15280281,-1.29821829,-0.1597465448,0.2657874377,-0.9508177609,-0.1590679836,-1.29821829,0.9872676317,-0.1597465448
Philippines,122.8839215,11.77539737,2.144729028,0.2055194548,-0.5315127237,0.8220993425,0.2040757104,2.144729028,0.9789551085,0.2055194548
Pitcairn Islands,-128.3170409,-24.36498595,-2.23955485,-0.425249227,-0.5647915917,-0.7147130547,-0.4125478244,-2.23955485,0.9109359432,-0.425249227
Poland,19.39011841,52.12759537,0.3384214086,0.9097981704,0.5790843433,0.2038155375,0.7893798515,0.3384214086,0.6139050822,0.9097981704
Portugal,-8.50105506,39.59550247,-0.1483714007,0.6910718871,0.7620972063,-0.1139105376,0.637363505,-0.1483714007,0.7705632761,0.6910718871
Puerto Rico,-66.47307314,18.22812711,-1.16017399,0.3181408345,0.3791486003,-0.8708626344,0.3128012323,-1.16017399,0.9498186085,0.3181408345
Qatar,51.18478512,25.30600936,0.8933430273,0.4416731839,0.5666605556,0.7044004668,0.427452684,0.8933430273,0.9040377221,0.4416731839
Republic of Serbia,20.78958121,44.22150308,0.3628466422,0.7718108289,0.6699880688,0.2543651902,0.69743411,0.3628466422,0.7166489114,0.7718108289
Republic of the Congo,15.21965722,-0.83788172,0.2656331295,-0.01462379476,0.9648233095,0.262492174,-0.01462327353,0.2656331295,0.9998930742,-0.01462379476
Romania,24.97293286,45.85242939,0.4358599023,0.8002758629,0.6313903281,0.2940590918,0.7175482591,0.4358599023,0.6965087909,0.8002758629
Russia,96.68657347,61.98052168,1.68749905,1.081764175,-0.05469927623,0.4665762985,0.8827879399,1.68749905,0.4697717032,1.081764175
Rwanda,29.91989113,-1.99033199,0.5222006121,-0.03473784643,0.8662007459,0.4984877482,-0.03473086039,0.5222006121,0.9993967017,-0.03473784643
Saint Barthelemy,-62.84068712,17.89881045,-1.096776894,0.3123931745,0.4343736092,-0.8466779916,0.3073368611,-1.096776894,0.9516007849,0.3123931745
Saint Helena,-9.54768684,-12.40367621,-0.1666385713,-0.2164849892,0.9631297196,-0.1619968084,-0.2147979919,-0.1666385713,0.9766584985,-0.2164849892
Saint Kitts and Nevis,-62.68754242,17.26458594,-1.094104015,0.3013238686,0.4381693266,-0.8484848205,0.2967846873,-1.094104015,0.9549444221,0.3013238686
Saint Lucia,-60.96969329,13.8947837,-1.064121892,0.2425097244,0.4710723185,-0.8487778341,0.2401396659,-1.064121892,0.9707383483,0.2425097244
